authors,Run,BioSample,BioProject,sequence_public,collection_year,geo_loc_name_country,lat_lon,latitude,longitude,env_broad_scale,env_local_scale,env_medium,host_common_name,host_latin_name,animal_gut,dna_extraction_method,dna_extraction_amount,library_selection,platform,sequencing_platform,instrument,library_layout,datastore_filetype,sample_name,doi_publication
Covelli_Frene_Wall,SRR17055870,SAMN23482021,PRJNA784308,yes,2018,Argentina,"-39.98555,-64.91861",-39.98555,-64.91861,Mineral,Soil,Soil,NA,NA,NA,FastDNA SPIN kit for soil,0.5 g,PCR,Illumina,Illumina MiSeq,Illumina MiSeq,Paired,Fastq,Old submission,https://doi.org/10.3389/fsoil.2022.835849
Covelli_Frene_Wall,SRR17055871,SAMN23482056,PRJNA784308,yes,2018,Argentina,"-39.98555,-64.91861",-39.98555,-64.91861,Mineral,Soil,Soil,NA,NA,NA,FastDNA SPIN kit for soil,0.5 g,PCR,Illumina,Illumina MiSeq,Illumina MiSeq,Paired,Fastq,Old submission,https://doi.org/10.3389/fsoil.2022.835849
Covelli_Frene_Wall,SRR17055872,SAMN23482055,PRJNA784308,yes,2018,Argentina,"-39.98555,-64.91861",-39.98555,-64.91861,Mineral,Soil,Soil,NA,NA,NA,FastDNA SPIN kit for soil,0.5 g,PCR,Illumina,Illumina MiSeq,Illumina MiSeq,Paired,Fastq,Old submission,https://doi.org/10.3389/fsoil.2022.835849
Covelli_Frene_Wall,SRR17055873,SAMN23482054,PRJNA784308,yes,2018,Argentina,"-39.98555,-64.91861",-39.98555,-64.91861,Mineral,Soil,Soil,NA,NA,NA,FastDNA SPIN kit for soil,0.5 g,PCR,Illumina,Illumina MiSeq,Illumina MiSeq,Paired,Fastq,Old submission,https://doi.org/10.3389/fsoil.2022.835849
Covelli_Frene_Wall,SRR17055874,SAMN23482053,PRJNA784308,yes,2018,Argentina,"-39.98555,-64.91861",-39.98555,-64.91861,Mineral,Soil,Soil,NA,NA,NA,FastDNA SPIN kit for soil,0.5 g,PCR,Illumina,Illumina MiSeq,Illumina MiSeq,Paired,Fastq,Old submission,https://doi.org/10.3389/fsoil.2022.835849
Covelli_Frene_Wall,SRR17055875,SAMN23482052,PRJNA784308,yes,2018,Argentina,"-39.98555,-64.91861",-39.98555,-64.91861,Mineral,Soil,Soil,NA,NA,NA,FastDNA SPIN kit for soil,0.5 g,PCR,Illumina,Illumina MiSeq,Illumina MiSeq,Paired,Fastq,Old submission,https://doi.org/10.3389/fsoil.2022.835849
Covelli_Frene_Wall,SRR17055876,SAMN23482051,PRJNA784308,yes,2018,Argentina,"-39.98555,-64.91861",-39.98555,-64.91861,Mineral,Soil,Soil,NA,NA,NA,FastDNA SPIN kit for soil,0.5 g,PCR,Illumina,Illumina MiSeq,Illumina MiSeq,Paired,Fastq,Old submission,https://doi.org/10.3389/fsoil.2022.835849
Covelli_Frene_Wall,SRR17055877,SAMN23482050,PRJNA784308,yes,2018,Argentina,"-39.98555,-64.91861",-39.98555,-64.91861,Mineral,Soil,Soil,NA,NA,NA,FastDNA SPIN kit for soil,0.5 g,PCR,Illumina,Illumina MiSeq,Illumina MiSeq,Paired,Fastq,Old submission,https://doi.org/10.3389/fsoil.2022.835849
Covelli_Frene_Wall,SRR17055878,SAMN23482049,PRJNA784308,yes,2018,Argentina,"-39.98555,-64.91861",-39.98555,-64.91861,Mineral,Soil,Soil,NA,NA,NA,FastDNA SPIN kit for soil,0.5 g,PCR,Illumina,Illumina MiSeq,Illumina MiSeq,Paired,Fastq,Old submission,https://doi.org/10.3389/fsoil.2022.835849
Covelli_Frene_Wall,SRR17055879,SAMN23482048,PRJNA784308,yes,2018,Argentina,"-39.98555,-64.91861",-39.98555,-64.91861,Mineral,Soil,Soil,NA,NA,NA,FastDNA SPIN kit for soil,0.5 g,PCR,Illumina,Illumina MiSeq,Illumina MiSeq,Paired,Fastq,Old submission,https://doi.org/10.3389/fsoil.2022.835849
Covelli_Frene_Wall,SRR17055880,SAMN23482047,PRJNA784308,yes,2018,Argentina,"-39.98555,-64.91861",-39.98555,-64.91861,Mineral,Soil,Soil,NA,NA,NA,FastDNA SPIN kit for soil,0.5 g,PCR,Illumina,Illumina MiSeq,Illumina MiSeq,Paired,Fastq,Old submission,https://doi.org/10.3389/fsoil.2022.835849
Covelli_Frene_Wall,SRR17055881,SAMN23482020,PRJNA784308,yes,2018,Argentina,"-39.98555,-64.91861",-39.98555,-64.91861,Mineral,Soil,Soil,NA,NA,NA,FastDNA SPIN kit for soil,0.5 g,PCR,Illumina,Illumina MiSeq,Illumina MiSeq,Paired,Fastq,Old submission,https://doi.org/10.3389/fsoil.2022.835849
Covelli_Frene_Wall,SRR17055882,SAMN23482046,PRJNA784308,yes,2018,Argentina,"-39.88416,-64.89046",-39.88416,-64.89046,Mineral,Soil,Soil,NA,NA,NA,FastDNA SPIN kit for soil,0.5 g,PCR,Illumina,Illumina MiSeq,Illumina MiSeq,Paired,Fastq,Old submission,https://doi.org/10.3389/fsoil.2022.835849
Covelli_Frene_Wall,SRR17055883,SAMN23482045,PRJNA784308,yes,2018,Argentina,"-39.88416,-64.89045",-39.88416,-64.89045,Mineral,Soil,Soil,NA,NA,NA,FastDNA SPIN kit for soil,0.5 g,PCR,Illumina,Illumina MiSeq,Illumina MiSeq,Paired,Fastq,Old submission,https://doi.org/10.3389/fsoil.2022.835849
Covelli_Frene_Wall,SRR17055884,SAMN23482044,PRJNA784308,yes,2018,Argentina,"-39.88416,-64.89044",-39.88416,-64.89044,Mineral,Soil,Soil,NA,NA,NA,FastDNA SPIN kit for soil,0.5 g,PCR,Illumina,Illumina MiSeq,Illumina MiSeq,Paired,Fastq,Old submission,https://doi.org/10.3389/fsoil.2022.835849
Covelli_Frene_Wall,SRR17055885,SAMN23482043,PRJNA784308,yes,2018,Argentina,"-39.88416,-64.89043",-39.88416,-64.89043,Mineral,Soil,Soil,NA,NA,NA,FastDNA SPIN kit for soil,0.5 g,PCR,Illumina,Illumina MiSeq,Illumina MiSeq,Paired,Fastq,Old submission,https://doi.org/10.3389/fsoil.2022.835849
Covelli_Frene_Wall,SRR17055886,SAMN23482042,PRJNA784308,yes,2018,Argentina,"-39.88416,-64.89042",-39.88416,-64.89042,Mineral,Soil,Soil,NA,NA,NA,FastDNA SPIN kit for soil,0.5 g,PCR,Illumina,Illumina MiSeq,Illumina MiSeq,Paired,Fastq,Old submission,https://doi.org/10.3389/fsoil.2022.835849
Covelli_Frene_Wall,SRR17055887,SAMN23482041,PRJNA784308,yes,2018,Argentina,"-39.88416,-64.89041",-39.88416,-64.89041,Mineral,Soil,Soil,NA,NA,NA,FastDNA SPIN kit for soil,0.5 g,PCR,Illumina,Illumina MiSeq,Illumina MiSeq,Paired,Fastq,Old submission,https://doi.org/10.3389/fsoil.2022.835849
Covelli_Frene_Wall,SRR17055888,SAMN23482040,PRJNA784308,yes,2018,Argentina,"-39.88416,-64.8904",-39.88416,-64.8904,Mineral,Soil,Soil,NA,NA,NA,FastDNA SPIN kit for soil,0.5 g,PCR,Illumina,Illumina MiSeq,Illumina MiSeq,Paired,Fastq,Old submission,https://doi.org/10.3389/fsoil.2022.835849
Covelli_Frene_Wall,SRR17055889,SAMN23482039,PRJNA784308,yes,2018,Argentina,"-39.88416,-64.89039",-39.88416,-64.89039,Mineral,Soil,Soil,NA,NA,NA,FastDNA SPIN kit for soil,0.5 g,PCR,Illumina,Illumina MiSeq,Illumina MiSeq,Paired,Fastq,Old submission,https://doi.org/10.3389/fsoil.2022.835849
Covelli_Frene_Wall,SRR17055890,SAMN23482038,PRJNA784308,yes,2018,Argentina,"-39.88416,-64.89038",-39.88416,-64.89038,Mineral,Soil,Soil,NA,NA,NA,FastDNA SPIN kit for soil,0.5 g,PCR,Illumina,Illumina MiSeq,Illumina MiSeq,Paired,Fastq,Old submission,https://doi.org/10.3389/fsoil.2022.835849
Covelli_Frene_Wall,SRR17055891,SAMN23482037,PRJNA784308,yes,2018,Argentina,"-39.88416,-64.89037",-39.88416,-64.89037,Mineral,Soil,Soil,NA,NA,NA,FastDNA SPIN kit for soil,0.5 g,PCR,Illumina,Illumina MiSeq,Illumina MiSeq,Paired,Fastq,Old submission,https://doi.org/10.3389/fsoil.2022.835849
Covelli_Frene_Wall,SRR17055892,SAMN23482019,PRJNA784308,yes,2018,Argentina,"-39.98555,-64.91861",-39.98555,-64.91861,Mineral,Soil,Soil,NA,NA,NA,FastDNA SPIN kit for soil,0.5 g,PCR,Illumina,Illumina MiSeq,Illumina MiSeq,Paired,Fastq,Old submission,https://doi.org/10.3389/fsoil.2022.835849
Covelli_Frene_Wall,SRR17055893,SAMN23482036,PRJNA784308,yes,2018,Argentina,"-39.88416,-64.89036",-39.88416,-64.89036,Mineral,Soil,Soil,NA,NA,NA,FastDNA SPIN kit for soil,0.5 g,PCR,Illumina,Illumina MiSeq,Illumina MiSeq,Paired,Fastq,Old submission,https://doi.org/10.3389/fsoil.2022.835849
Covelli_Frene_Wall,SRR17055894,SAMN23482035,PRJNA784308,yes,2018,Argentina,"-39.88416,-64.89035",-39.88416,-64.89035,Mineral,Soil,Soil,NA,NA,NA,FastDNA SPIN kit for soil,0.5 g,PCR,Illumina,Illumina MiSeq,Illumina MiSeq,Paired,Fastq,Old submission,https://doi.org/10.3389/fsoil.2022.835849
Covelli_Frene_Wall,SRR17055895,SAMN23482034,PRJNA784308,yes,2018,Argentina,"-39.88416,-64.89034",-39.88416,-64.89034,Mineral,Soil,Soil,NA,NA,NA,FastDNA SPIN kit for soil,0.5 g,PCR,Illumina,Illumina MiSeq,Illumina MiSeq,Paired,Fastq,Old submission,https://doi.org/10.3389/fsoil.2022.835849
Covelli_Frene_Wall,SRR17055896,SAMN23482033,PRJNA784308,yes,2018,Argentina,"-39.88416,-64.89033",-39.88416,-64.89033,Mineral,Soil,Soil,NA,NA,NA,FastDNA SPIN kit for soil,0.5 g,PCR,Illumina,Illumina MiSeq,Illumina MiSeq,Paired,Fastq,Old submission,https://doi.org/10.3389/fsoil.2022.835849
Covelli_Frene_Wall,SRR17055897,SAMN23482032,PRJNA784308,yes,2018,Argentina,"-39.88416,-64.89032",-39.88416,-64.89032,Mineral,Soil,Soil,NA,NA,NA,FastDNA SPIN kit for soil,0.5 g,PCR,Illumina,Illumina MiSeq,Illumina MiSeq,Paired,Fastq,Old submission,https://doi.org/10.3389/fsoil.2022.835849
Covelli_Frene_Wall,SRR17055898,SAMN23482031,PRJNA784308,yes,2018,Argentina,"-39.88416,-64.89031",-39.88416,-64.89031,Mineral,Soil,Soil,NA,NA,NA,FastDNA SPIN kit for soil,0.5 g,PCR,Illumina,Illumina MiSeq,Illumina MiSeq,Paired,Fastq,Old submission,https://doi.org/10.3389/fsoil.2022.835849
Covelli_Frene_Wall,SRR17055899,SAMN23482030,PRJNA784308,yes,2018,Argentina,"-39.88416,-64.8903",-39.88416,-64.8903,Mineral,Soil,Soil,NA,NA,NA,FastDNA SPIN kit for soil,0.5 g,PCR,Illumina,Illumina MiSeq,Illumina MiSeq,Paired,Fastq,Old submission,https://doi.org/10.3389/fsoil.2022.835849
Covelli_Frene_Wall,SRR17055900,SAMN23482029,PRJNA784308,yes,2018,Argentina,"-39.88416,-64.89029",-39.88416,-64.89029,Mineral,Soil,Soil,NA,NA,NA,FastDNA SPIN kit for soil,0.5 g,PCR,Illumina,Illumina MiSeq,Illumina MiSeq,Paired,Fastq,Old submission,https://doi.org/10.3389/fsoil.2022.835849
Covelli_Frene_Wall,SRR17055901,SAMN23482028,PRJNA784308,yes,2018,Argentina,"-39.88416,-64.89028",-39.88416,-64.89028,Mineral,Soil,Soil,NA,NA,NA,FastDNA SPIN kit for soil,0.5 g,PCR,Illumina,Illumina MiSeq,Illumina MiSeq,Paired,Fastq,Old submission,https://doi.org/10.3389/fsoil.2022.835849
Covelli_Frene_Wall,SRR17055902,SAMN23482027,PRJNA784308,yes,2018,Argentina,"-39.88416,-64.89027",-39.88416,-64.89027,Mineral,Soil,Soil,NA,NA,NA,FastDNA SPIN kit for soil,0.5 g,PCR,Illumina,Illumina MiSeq,Illumina MiSeq,Paired,Fastq,Old submission,https://doi.org/10.3389/fsoil.2022.835849
Covelli_Frene_Wall,SRR17055903,SAMN23482018,PRJNA784308,yes,2018,Argentina,"-39.98555,-64.91861",-39.98555,-64.91861,Mineral,Soil,Soil,NA,NA,NA,FastDNA SPIN kit for soil,0.5 g,PCR,Illumina,Illumina MiSeq,Illumina MiSeq,Paired,Fastq,Old submission,https://doi.org/10.3389/fsoil.2022.835849
Covelli_Frene_Wall,SRR17055904,SAMN23482017,PRJNA784308,yes,2018,Argentina,"-39.98555,-64.91861",-39.98555,-64.91861,Mineral,Soil,Soil,NA,NA,NA,FastDNA SPIN kit for soil,0.5 g,PCR,Illumina,Illumina MiSeq,Illumina MiSeq,Paired,Fastq,Old submission,https://doi.org/10.3389/fsoil.2022.835849
Covelli_Frene_Wall,SRR17212060,SAMN23482026,PRJNA784308,yes,2018,Argentina,"-39.98555,-64.91861",-39.98555,-64.91861,Mineral,Soil,Soil,NA,NA,NA,FastDNA SPIN kit for soil,0.5 g,PCR,Illumina,Illumina MiSeq,Illumina MiSeq,Paired,Fastq,Old submission,https://doi.org/10.3389/fsoil.2022.835849
Covelli_Frene_Wall,SRR17212061,SAMN23482025,PRJNA784308,yes,2018,Argentina,"-39.98555,-64.91861",-39.98555,-64.91861,Mineral,Soil,Soil,NA,NA,NA,FastDNA SPIN kit for soil,0.5 g,PCR,Illumina,Illumina MiSeq,Illumina MiSeq,Paired,Fastq,Old submission,https://doi.org/10.3389/fsoil.2022.835849
Covelli_Frene_Wall,SRR17212062,SAMN23482024,PRJNA784308,yes,2018,Argentina,"-39.98555,-64.91861",-39.98555,-64.91861,Mineral,Soil,Soil,NA,NA,NA,FastDNA SPIN kit for soil,0.5 g,PCR,Illumina,Illumina MiSeq,Illumina MiSeq,Paired,Fastq,Old submission,https://doi.org/10.3389/fsoil.2022.835849
Covelli_Frene_Wall,SRR17212063,SAMN23482023,PRJNA784308,yes,2018,Argentina,"-39.98555,-64.91861",-39.98555,-64.91861,Mineral,Soil,Soil,NA,NA,NA,FastDNA SPIN kit for soil,0.5 g,PCR,Illumina,Illumina MiSeq,Illumina MiSeq,Paired,Fastq,Old submission,https://doi.org/10.3389/fsoil.2022.835849
Covelli_Frene_Wall,SRR17212064,SAMN23482046,PRJNA784308,yes,2018,Argentina,"-39.88416,-64.89046",-39.88416,-64.89046,Mineral,Soil,Soil,NA,NA,NA,FastDNA SPIN kit for soil,0.5 g,PCR,Illumina,Illumina MiSeq,Illumina MiSeq,Paired,Fastq,Old submission,https://doi.org/10.3389/fsoil.2022.835849
Covelli_Frene_Wall,SRR17212065,SAMN23482045,PRJNA784308,yes,2018,Argentina,"-39.88416,-64.89045",-39.88416,-64.89045,Mineral,Soil,Soil,NA,NA,NA,FastDNA SPIN kit for soil,0.5 g,PCR,Illumina,Illumina MiSeq,Illumina MiSeq,Paired,Fastq,Old submission,https://doi.org/10.3389/fsoil.2022.835849
Covelli_Frene_Wall,SRR17212066,SAMN23482044,PRJNA784308,yes,2018,Argentina,"-39.88416,-64.89044",-39.88416,-64.89044,Mineral,Soil,Soil,NA,NA,NA,FastDNA SPIN kit for soil,0.5 g,PCR,Illumina,Illumina MiSeq,Illumina MiSeq,Paired,Fastq,Old submission,https://doi.org/10.3389/fsoil.2022.835849
Covelli_Frene_Wall,SRR17212067,SAMN23482022,PRJNA784308,yes,2018,Argentina,"-39.98555,-64.91861",-39.98555,-64.91861,Mineral,Soil,Soil,NA,NA,NA,FastDNA SPIN kit for soil,0.5 g,PCR,Illumina,Illumina MiSeq,Illumina MiSeq,Paired,Fastq,Old submission,https://doi.org/10.3389/fsoil.2022.835849
Covelli_Frene_Wall,SRR17212068,SAMN23482021,PRJNA784308,yes,2018,Argentina,"-39.98555,-64.91861",-39.98555,-64.91861,Mineral,Soil,Soil,NA,NA,NA,FastDNA SPIN kit for soil,0.5 g,PCR,Illumina,Illumina MiSeq,Illumina MiSeq,Paired,Fastq,Old submission,https://doi.org/10.3389/fsoil.2022.835849
Covelli_Frene_Wall,SRR17212069,SAMN23482020,PRJNA784308,yes,2018,Argentina,"-39.98555,-64.91861",-39.98555,-64.91861,Mineral,Soil,Soil,NA,NA,NA,FastDNA SPIN kit for soil,0.5 g,PCR,Illumina,Illumina MiSeq,Illumina MiSeq,Paired,Fastq,Old submission,https://doi.org/10.3389/fsoil.2022.835849
Covelli_Frene_Wall,SRR17212070,SAMN23482043,PRJNA784308,yes,2018,Argentina,"-39.88416,-64.89043",-39.88416,-64.89043,Mineral,Soil,Soil,NA,NA,NA,FastDNA SPIN kit for soil,0.5 g,PCR,Illumina,Illumina MiSeq,Illumina MiSeq,Paired,Fastq,Old submission,https://doi.org/10.3389/fsoil.2022.835849
Covelli_Frene_Wall,SRR17212071,SAMN23482042,PRJNA784308,yes,2018,Argentina,"-39.88416,-64.89042",-39.88416,-64.89042,Mineral,Soil,Soil,NA,NA,NA,FastDNA SPIN kit for soil,0.5 g,PCR,Illumina,Illumina MiSeq,Illumina MiSeq,Paired,Fastq,Old submission,https://doi.org/10.3389/fsoil.2022.835849
Covelli_Frene_Wall,SRR17212072,SAMN23482041,PRJNA784308,yes,2018,Argentina,"-39.88416,-64.89041",-39.88416,-64.89041,Mineral,Soil,Soil,NA,NA,NA,FastDNA SPIN kit for soil,0.5 g,PCR,Illumina,Illumina MiSeq,Illumina MiSeq,Paired,Fastq,Old submission,https://doi.org/10.3389/fsoil.2022.835849
Covelli_Frene_Wall,SRR17212073,SAMN23482040,PRJNA784308,yes,2018,Argentina,"-39.88416,-64.8904",-39.88416,-64.8904,Mineral,Soil,Soil,NA,NA,NA,FastDNA SPIN kit for soil,0.5 g,PCR,Illumina,Illumina MiSeq,Illumina MiSeq,Paired,Fastq,Old submission,https://doi.org/10.3389/fsoil.2022.835849
Covelli_Frene_Wall,SRR17212074,SAMN23482039,PRJNA784308,yes,2018,Argentina,"-39.88416,-64.89039",-39.88416,-64.89039,Mineral,Soil,Soil,NA,NA,NA,FastDNA SPIN kit for soil,0.5 g,PCR,Illumina,Illumina MiSeq,Illumina MiSeq,Paired,Fastq,Old submission,https://doi.org/10.3389/fsoil.2022.835849
Covelli_Frene_Wall,SRR17212075,SAMN23482038,PRJNA784308,yes,2018,Argentina,"-39.88416,-64.89038",-39.88416,-64.89038,Mineral,Soil,Soil,NA,NA,NA,FastDNA SPIN kit for soil,0.5 g,PCR,Illumina,Illumina MiSeq,Illumina MiSeq,Paired,Fastq,Old submission,https://doi.org/10.3389/fsoil.2022.835849
Covelli_Frene_Wall,SRR17212076,SAMN23482037,PRJNA784308,yes,2018,Argentina,"-39.88416,-64.89037",-39.88416,-64.89037,Mineral,Soil,Soil,NA,NA,NA,FastDNA SPIN kit for soil,0.5 g,PCR,Illumina,Illumina MiSeq,Illumina MiSeq,Paired,Fastq,Old submission,https://doi.org/10.3389/fsoil.2022.835849
Covelli_Frene_Wall,SRR17212077,SAMN23482019,PRJNA784308,yes,2018,Argentina,"-39.98555,-64.91861",-39.98555,-64.91861,Mineral,Soil,Soil,NA,NA,NA,FastDNA SPIN kit for soil,0.5 g,PCR,Illumina,Illumina MiSeq,Illumina MiSeq,Paired,Fastq,Old submission,https://doi.org/10.3389/fsoil.2022.835849
Covelli_Frene_Wall,SRR17212078,SAMN23482036,PRJNA784308,yes,2018,Argentina,"-39.88416,-64.89036",-39.88416,-64.89036,Mineral,Soil,Soil,NA,NA,NA,FastDNA SPIN kit for soil,0.5 g,PCR,Illumina,Illumina MiSeq,Illumina MiSeq,Paired,Fastq,Old submission,https://doi.org/10.3389/fsoil.2022.835849
Covelli_Frene_Wall,SRR17212079,SAMN23482035,PRJNA784308,yes,2018,Argentina,"-39.88416,-64.89035",-39.88416,-64.89035,Mineral,Soil,Soil,NA,NA,NA,FastDNA SPIN kit for soil,0.5 g,PCR,Illumina,Illumina MiSeq,Illumina MiSeq,Paired,Fastq,Old submission,https://doi.org/10.3389/fsoil.2022.835849
Covelli_Frene_Wall,SRR17212080,SAMN23482034,PRJNA784308,yes,2018,Argentina,"-39.88416,-64.89034",-39.88416,-64.89034,Mineral,Soil,Soil,NA,NA,NA,FastDNA SPIN kit for soil,0.5 g,PCR,Illumina,Illumina MiSeq,Illumina MiSeq,Paired,Fastq,Old submission,https://doi.org/10.3389/fsoil.2022.835849
Covelli_Frene_Wall,SRR17212081,SAMN23482033,PRJNA784308,yes,2018,Argentina,"-39.88416,-64.89033",-39.88416,-64.89033,Mineral,Soil,Soil,NA,NA,NA,FastDNA SPIN kit for soil,0.5 g,PCR,Illumina,Illumina MiSeq,Illumina MiSeq,Paired,Fastq,Old submission,https://doi.org/10.3389/fsoil.2022.835849
Covelli_Frene_Wall,SRR17212082,SAMN23482032,PRJNA784308,yes,2018,Argentina,"-39.88416,-64.89032",-39.88416,-64.89032,Mineral,Soil,Soil,NA,NA,NA,FastDNA SPIN kit for soil,0.5 g,PCR,Illumina,Illumina MiSeq,Illumina MiSeq,Paired,Fastq,Old submission,https://doi.org/10.3389/fsoil.2022.835849
Covelli_Frene_Wall,SRR17212083,SAMN23482031,PRJNA784308,yes,2018,Argentina,"-39.88416,-64.89031",-39.88416,-64.89031,Mineral,Soil,Soil,NA,NA,NA,FastDNA SPIN kit for soil,0.5 g,PCR,Illumina,Illumina MiSeq,Illumina MiSeq,Paired,Fastq,Old submission,https://doi.org/10.3389/fsoil.2022.835849
Covelli_Frene_Wall,SRR17212084,SAMN23482030,PRJNA784308,yes,2018,Argentina,"-39.88416,-64.8903",-39.88416,-64.8903,Mineral,Soil,Soil,NA,NA,NA,FastDNA SPIN kit for soil,0.5 g,PCR,Illumina,Illumina MiSeq,Illumina MiSeq,Paired,Fastq,Old submission,https://doi.org/10.3389/fsoil.2022.835849
Covelli_Frene_Wall,SRR17212085,SAMN23482029,PRJNA784308,yes,2018,Argentina,"-39.88416,-64.89029",-39.88416,-64.89029,Mineral,Soil,Soil,NA,NA,NA,FastDNA SPIN kit for soil,0.5 g,PCR,Illumina,Illumina MiSeq,Illumina MiSeq,Paired,Fastq,Old submission,https://doi.org/10.3389/fsoil.2022.835849
Covelli_Frene_Wall,SRR17212086,SAMN23482028,PRJNA784308,yes,2018,Argentina,"-39.88416,-64.89028",-39.88416,-64.89028,Mineral,Soil,Soil,NA,NA,NA,FastDNA SPIN kit for soil,0.5 g,PCR,Illumina,Illumina MiSeq,Illumina MiSeq,Paired,Fastq,Old submission,https://doi.org/10.3389/fsoil.2022.835849
Covelli_Frene_Wall,SRR17212087,SAMN23482027,PRJNA784308,yes,2018,Argentina,"-39.88416,-64.89027",-39.88416,-64.89027,Mineral,Soil,Soil,NA,NA,NA,FastDNA SPIN kit for soil,0.5 g,PCR,Illumina,Illumina MiSeq,Illumina MiSeq,Paired,Fastq,Old submission,https://doi.org/10.3389/fsoil.2022.835849
Covelli_Frene_Wall,SRR17212088,SAMN23482018,PRJNA784308,yes,2018,Argentina,"-39.98555,-64.91861",-39.98555,-64.91861,Mineral,Soil,Soil,NA,NA,NA,FastDNA SPIN kit for soil,0.5 g,PCR,Illumina,Illumina MiSeq,Illumina MiSeq,Paired,Fastq,Old submission,https://doi.org/10.3389/fsoil.2022.835849
Covelli_Frene_Wall,SRR17212089,SAMN23482017,PRJNA784308,yes,2018,Argentina,"-39.98555,-64.91861",-39.98555,-64.91861,Mineral,Soil,Soil,NA,NA,NA,FastDNA SPIN kit for soil,0.5 g,PCR,Illumina,Illumina MiSeq,Illumina MiSeq,Paired,Fastq,Old submission,https://doi.org/10.3389/fsoil.2022.835849
Dominici,SRR21883651,SAMN31253004,PRJNA834769,yes,2019,Argentina,"-35.27082,-58.25456",-35.27082,-58.25456,Other,Reactor,water from a reactor with crude oil and water,NA,NA,No,E.Z.N.A. Soil DNA kit,100 ml filtered,PCR,Illumina,Illumina MiSeq,Illumina MiSeq,Paired,Fastq,Rf35,No publication associated to this sequence by the release date of the Datathon's report
Dominici,SRR21883652,SAMN31253003,PRJNA834769,yes,2019,Argentina,"-35.27082,-58.25456",-35.27082,-58.25456,Other,Reactor,water from a reactor with crude oil and water,NA,NA,No,E.Z.N.A. Soil DNA kit,100 ml filtered,PCR,Illumina,Illumina MiSeq,Illumina MiSeq,Paired,Fastq,Rf15,No publication associated to this sequence by the release date of the Datathon's report
Dominici,SRR21883653,SAMN31253002,PRJNA834769,yes,2019,Argentina,"-35.27082,-58.25456",-35.27082,-58.25456,Other,Reactor,water from a reactor with crude oil and water,NA,NA,No,E.Z.N.A. Soil DNA kit,100 ml filtered,PCR,Illumina,Illumina MiSeq,Illumina MiSeq,Paired,Fastq,Rf5,No publication associated to this sequence by the release date of the Datathon's report
Dominici,SRR21883654,SAMN31253001,PRJNA834769,yes,2019,Argentina,"-35.27082,-58.25456",-35.27082,-58.25456,Other,Reactor,water from a reactor with crude oil and water,NA,NA,No,E.Z.N.A. Soil DNA kit,100 ml filtered,PCR,Illumina,Illumina MiSeq,Illumina MiSeq,Paired,Fastq,Rf0,No publication associated to this sequence by the release date of the Datathon's report
Fernandez-Gnecco,SRR12236905,SAMN15545152,PRJNA646516,yes,2016,Argentina,"-37.75,-58.29",-37.75,-58.29,Mineral,Soil,0.5 g agricultural soil soy,Not included,Not included,Not included,FastDNA SPIN kit for soil,0.5 g,PCR,Illumina,Not included,Illumina MiSeq,Paired,Fastq,Old submission,https://doi.org/10.1093/femsec/fiac055
Fernandez-Gnecco,SRR12236906,SAMN15545151,PRJNA646516,yes,2016,Argentina,"-37.75,-58.29",-37.75,-58.29,Mineral,Soil,0.5 g agricultural soil soy,Not included,Not included,Not included,FastDNA SPIN kit for soil,0.5 g,PCR,Illumina,Not included,Illumina MiSeq,Paired,Fastq,Old submission,https://doi.org/10.1093/femsec/fiac055
Fernandez-Gnecco,SRR12236907,SAMN15545150,PRJNA646516,yes,2016,Argentina,"-37.75,-58.29",-37.75,-58.29,Mineral,Soil,0.5 g agricultural soil soy,Not included,Not included,Not included,FastDNA SPIN kit for soil,0.5 g,PCR,Illumina,Not included,Illumina MiSeq,Paired,Fastq,Old submission,https://doi.org/10.1093/femsec/fiac055
Fernandez-Gnecco,SRR12236908,SAMN15545149,PRJNA646516,yes,2016,Argentina,"-37.75,-58.29",-37.75,-58.29,Mineral,Soil,0.5 g agricultural soil soy,Not included,Not included,Not included,FastDNA SPIN kit for soil,0.5 g,PCR,Illumina,Not included,Illumina MiSeq,Paired,Fastq,Old submission,https://doi.org/10.1093/femsec/fiac055
Fernandez-Gnecco,SRR12236909,SAMN15545148,PRJNA646516,yes,2016,Argentina,"-37.75,-58.29",-37.75,-58.29,Mineral,Soil,0.5 g agricultural soil soy,Not included,Not included,Not included,FastDNA SPIN kit for soil,0.5 g,PCR,Illumina,Not included,Illumina MiSeq,Paired,Fastq,Old submission,https://doi.org/10.1093/femsec/fiac055
Fernandez-Gnecco,SRR12236910,SAMN15545147,PRJNA646516,yes,2016,Argentina,"-37.75,-58.29",-37.75,-58.29,Mineral,Soil,0.5 g agricultural soil soy,Not included,Not included,Not included,FastDNA SPIN kit for soil,0.5 g,PCR,Illumina,Not included,Illumina MiSeq,Paired,Fastq,Old submission,https://doi.org/10.1093/femsec/fiac055
Fernandez-Gnecco,SRR12236911,SAMN15545146,PRJNA646516,yes,2016,Argentina,"-37.75,-58.29",-37.75,-58.29,Mineral,Soil,0.5 g agricultural soil soy,Not included,Not included,Not included,FastDNA SPIN kit for soil,0.5 g,PCR,Illumina,Not included,Illumina MiSeq,Paired,Fastq,Old submission,https://doi.org/10.1093/femsec/fiac055
